ID,studentnumber,first_name,last_name,city,phone,email
65634,1230800,Xavier,Cadell,Denver,303-585-9808,xcadell0@hostgator.com
76935,100200,Alexandr,Dorrance,Huntsville,936-369-0327,adorrance1@163.com
58251,105200,Camilla,Frood,Jamaica,516-426-1613,cfrood2@csmonitor.com
46788,574900,Faye,Wolstenholme,Petaluma,707-784-2679,fwolstenholme3@vimeo.com
35489,2503400,Cari,McGrorty,Lubbock,806-534-4145,cmcgrorty4@webs.com
90052,105500,Austine,Normand,Staten Island,718-371-3926,anormand5@list-manage.com
87550,100500,Curcio,Davydoch,Aurora,303-599-9828,cdavydoch6@lycos.com
86827,105100,Deana,Walsh,Minneapolis,952-213-7251,dwalsh7@lulu.com
87217,100700,Alphonse,Reary,Grand Forks,701-514-7639,areary8@yolasite.com
37940,100800,Udall,Le Monnier,Appleton,920-879-1491,ulemonnier9@google.com.au
40889,831000,Gawen,Cathel,Ann Arbor,734-422-6248,gcathela@netscape.com
53173,100900,Dougie,Estick,Jacksonville,904-294-2220,destickb@rediff.com
57165,570400,Natasha,Gillbard,Chicago,312-465-3690,ngillbardc@archive.org
86464,101200,Carroll,Newiss,Chattanooga,423-798-1467,cnewissd@hibu.com
90439,573301,Chiquita,Lorraine,Atlanta,770-129-1945,clorrainee@rediff.com
59750,2319500,Nicolais,Jiroudek,Corona,951-344-5645,njiroudekf@indiegogo.com
74196,1218200,Austina,Whitbread,Cincinnati,513-556-3715,awhitbreadg@bloomberg.com
37983,573600,Katerina,Cluckie,Huntington,304-464-2854,kcluckieh@ucoz.ru
48973,1055400,Sheryl,Pellett,Norwalk,203-923-2427,spelletti@comsenz.com
68689,569800,Pavel,Hulkes,Jefferson City,573-902-2004,phulkesj@zdnet.com
69018,446300,Brandais,Rastall,Saint Louis,314-275-3161,brastallk@house.gov
29396,101500,Daffy,Ivashnikov,New York City,212-735-9844,divashnikovl@tiny.cc
94785,106000,Paige,Milton-White,Sacramento,916-517-4271,pmiltonwhitem@buzzfeed.com
30343,100300,Zebulon,Alliberton,Springfield,217-762-1799,zallibertonn@washingtonpost.com
88690,100301,Donetta,Whetton,Tallahassee,850-918-4022,dwhettono@1688.com
80272,100302,Bartholomew,Scollick,Valdosta,229-796-8979,bscollickp@cornell.edu
13751,100303,Wendel,Wallace,Saint Louis,314-301-6876,wwallaceq@tinypic.com
53288,446200,Neilla,Klawi,Bakersfield,661-816-4195,nklawir@tmall.com
